qpcr_date,Position,sample,density,comments
20180704,A1,,1.70E-01,
20180704,A2,,1.70E-01,
20180704,A3,,1.70E-01,
20180704,A4,,1.50E-01,
20180704,A5,,1.50E-01,
20180704,A6,,1.50E-01,
20180704,A7,1,,
20180704,A8,1,,
20180704,A9,1,,
20180704,A10,97,,
20180704,A11,97,,
20180704,A12,97,,
20180704,A13,228,,
20180704,A14,228,,
20180704,A15,228,,
20180704,A16,244,,
20180704,A17,244,,
20180704,A18,244,,
20180704,A19,328,,
20180704,A20,328,,
20180704,A21,328,,
20180704,A22,548,,
20180704,A23,548,,
20180704,A24,548,,
20180704,B1,,1.70E-02,
20180704,B2,,1.70E-02,
20180704,B3,,1.70E-02,
20180704,B4,,1.50E-02,
20180704,B5,,1.50E-02,
20180704,B6,,1.50E-02,
20180704,B7,2,,
20180704,B8,2,,
20180704,B9,2,,
20180704,B10,98,,
20180704,B11,98,,
20180704,B12,98,,
20180704,B13,229,,
20180704,B14,229,,
20180704,B15,229,,
20180704,B16,245,,
20180704,B17,245,,
20180704,B18,245,,
20180704,B19,329,,
20180704,B20,329,,
20180704,B21,329,,
20180704,B22,547,,
20180704,B23,547,,
20180704,B24,547,,
20180704,C1,,1.70E-03,
20180704,C2,,1.70E-03,
20180704,C3,,1.70E-03,
20180704,C4,,1.50E-03,
20180704,C5,,1.50E-03,
20180704,C6,,1.50E-03,
20180704,C7,3,,
20180704,C8,3,,
20180704,C9,3,,
20180704,C10,99,,
20180704,C11,99,,
20180704,C12,99,,
20180704,C13,230,,
20180704,C14,230,,
20180704,C15,230,,
20180704,C16,253,,
20180704,C17,253,,
20180704,C18,253,,
20180704,C19,341,,
20180704,C20,341,,
20180704,C21,341,,
20180704,C22,501,,
20180704,C23,501,,
20180704,C24,501,,
20180704,D1,,1.70E-04,
20180704,D2,,1.70E-04,
20180704,D3,,1.70E-04,
20180704,D4,,1.50E-04,
20180704,D5,,1.50E-04,
20180704,D6,,1.50E-04,
20180704,D7,4,,
20180704,D8,4,,
20180704,D9,4,,
20180704,D10,113,,
20180704,D11,113,,
20180704,D12,113,,
20180704,D13,231,,
20180704,D14,231,,
20180704,D15,231,,
20180704,D16,255,,
20180704,D17,255,,
20180704,D18,255,,
20180704,D19,342,,
20180704,D20,342,,
20180704,D21,342,,
20180704,D22,500,,
20180704,D23,500,,
20180704,D24,500,,
20180704,E1,,1.70E-05,
20180704,E2,,1.70E-05,
20180704,E3,,1.70E-05,
20180704,E4,,1.50E-05,
20180704,E5,,1.50E-05,
20180704,E6,,1.50E-05,
20180704,E7,25,,
20180704,E8,25,,
20180704,E9,25,,
20180704,E10,114,,
20180704,E11,114,,
20180704,E12,114,,
20180704,E13,232,,
20180704,E14,232,,
20180704,E15,232,,
20180704,E16,256,,
20180704,E17,256,,
20180704,E18,256,,
20180704,E19,345,,
20180704,E20,345,,
20180704,E21,345,,
20180704,E22,499,,
20180704,E23,499,,
20180704,E24,499,,
20180704,F1,,1.70E-06,
20180704,F2,,1.70E-06,
20180704,F3,,1.70E-06,
20180704,F4,,1.50E-06,
20180704,F5,,1.50E-06,
20180704,F6,,1.50E-06,
20180704,F7,26,,
20180704,F8,26,,
20180704,F9,26,,
20180704,F10,115,,
20180704,F11,115,,
20180704,F12,115,,
20180704,F13,235,,
20180704,F14,235,,
20180704,F15,235,,
20180704,F16,264,,
20180704,F17,264,,
20180704,F18,264,,
20180704,F19,351,,
20180704,F20,351,,
20180704,F21,351,,
20180704,F22,498,,
20180704,F23,498,,
20180704,F24,498,,
20180704,G1,,1.70E-07,
20180704,G2,,1.70E-07,
20180704,G3,,1.70E-07,
20180704,G4,,1.50E-07,
20180704,G5,,1.50E-07,
20180704,G6,,1.50E-07,
20180704,G7,91,,
20180704,G8,91,,
20180704,G9,91,,
20180704,G10,118,,
20180704,G11,118,,
20180704,G12,118,,
20180704,G13,236,,
20180704,G14,236,,
20180704,G15,236,,
20180704,G16,265,,
20180704,G17,265,,
20180704,G18,265,,
20180704,G19,354,,
20180704,G20,354,,
20180704,G21,354,,
20180704,G22,497,,
20180704,G23,497,,
20180704,G24,497,,
20180704,H1,ntc,,
20180704,H2,ntc,,
20180704,H3,ntc,,
20180704,H4,ntc,,
20180704,H5,ntc,,
20180704,H6,ntc,,
20180704,H7,96,,
20180704,H8,96,,
20180704,H9,96,,
20180704,H10,227,,
20180704,H11,227,,
20180704,H12,227,,
20180704,H13,241,,
20180704,H14,241,,
20180704,H15,241,,
20180704,H16,327,,
20180704,H17,327,,
20180704,H18,327,,
20180704,H19,355,,
20180704,H20,355,,
20180704,H21,355,,
20180704,H22,496,,
20180704,H23,496,,
20180704,H24,496,,
20180704,I1,495,,
20180704,I2,495,,
20180704,I3,495,,
20180704,I4,487,,
20180704,I5,487,,
20180704,I6,487,,
20180704,I7,,,
20180704,I8,,,
20180704,I9,,,
20180704,I10,,,
20180704,I11,,,
20180704,I12,,,
20180704,I13,,,
20180704,I14,,,
20180704,I15,,,
20180704,I16,,,
20180704,I17,,,
20180704,I18,,,
20180704,I19,,,
20180704,I20,,,
20180704,I21,,,
20180704,I22,,,
20180704,I23,,,
20180704,I24,,,
20180704,J1,494,,
20180704,J2,494,,
20180704,J3,494,,
20180704,J4,486,,
20180704,J5,486,,
20180704,J6,486,,
20180704,J7,,,
20180704,J8,,,
20180704,J9,,,
20180704,J10,,,
20180704,J11,,,
20180704,J12,,,
20180704,J13,,,
20180704,J14,,,
20180704,J15,,,
20180704,J16,,,
20180704,J17,,,
20180704,J18,,,
20180704,J19,,,
20180704,J20,,,
20180704,J21,,,
20180704,J22,,,
20180704,J23,,,
20180704,J24,,,
20180704,K1,493,,
20180704,K2,493,,
20180704,K3,493,,
20180704,K4,484,,
20180704,K5,484,,
20180704,K6,484,,
20180704,K7,,,
20180704,K8,,,
20180704,K9,,,
20180704,K10,,,
20180704,K11,,,
20180704,K12,,,
20180704,K13,,,
20180704,K14,,,
20180704,K15,,,
20180704,K16,,,
20180704,K17,,,
20180704,K18,,,
20180704,K19,,,
20180704,K20,,,
20180704,K21,,,
20180704,K22,,,
20180704,K23,,,
20180704,K24,,,
20180704,L1,492,,
20180704,L2,492,,
20180704,L3,492,,
20180704,L4,483,,
20180704,L5,483,,
20180704,L6,483,,
20180704,L7,,,
20180704,L8,,,
20180704,L9,,,
20180704,L10,,,
20180704,L11,,,
20180704,L12,,,
20180704,L13,,,
20180704,L14,,,
20180704,L15,,,
20180704,L16,,,
20180704,L17,,,
20180704,L18,,,
20180704,L19,,,
20180704,L20,,,
20180704,L21,,,
20180704,L22,,,
20180704,L23,,,
20180704,L24,,,
20180704,M1,491,,
20180704,M2,491,,
20180704,M3,491,,
20180704,M4,482,,
20180704,M5,482,,
20180704,M6,482,,
20180704,M7,,,
20180704,M8,,,
20180704,M9,,,
20180704,M10,,,
20180704,M11,,,
20180704,M12,,,
20180704,M13,,,
20180704,M14,,,
20180704,M15,,,
20180704,M16,,,
20180704,M17,,,
20180704,M18,,,
20180704,M19,,,
20180704,M20,,,
20180704,M21,,,
20180704,M22,,,
20180704,M23,,,
20180704,M24,,,
20180704,N1,490,,
20180704,N2,490,,
20180704,N3,490,,
20180704,N4,461,,
20180704,N5,461,,
20180704,N6,461,,
20180704,N7,,,
20180704,N8,,,
20180704,N9,,,
20180704,N10,,,
20180704,N11,,,
20180704,N12,,,
20180704,N13,,,
20180704,N14,,,
20180704,N15,,,
20180704,N16,,,
20180704,N17,,,
20180704,N18,,,
20180704,N19,,,
20180704,N20,,,
20180704,N21,,,
20180704,N22,,,
20180704,N23,,,
20180704,N24,,,
20180704,O1,489,,
20180704,O2,489,,
20180704,O3,489,,
20180704,O4,460,,
20180704,O5,460,,
20180704,O6,460,,
20180704,O7,,,
20180704,O8,,,
20180704,O9,,,
20180704,O10,,,
20180704,O11,,,
20180704,O12,,,
20180704,O13,,,
20180704,O14,,,
20180704,O15,,,
20180704,O16,,,
20180704,O17,,,
20180704,O18,,,
20180704,O19,,,
20180704,O20,,,
20180704,O21,,,
20180704,O22,,,
20180704,O23,,,
20180704,O24,,,
20180704,P1,488,,
20180704,P2,488,,
20180704,P3,488,,
20180704,P4,459,,
20180704,P5,459,,
20180704,P6,459,,
20180704,P7,,,
20180704,P8,,,
20180704,P9,,,
20180704,P10,,,
20180704,P11,,,
20180704,P12,,,
20180704,P13,,,
20180704,P14,,,
20180704,P15,,,
20180704,P16,,,
20180704,P17,,,
20180704,P18,,,
20180704,P19,,,
20180704,P20,,,
20180704,P21,,,
20180704,P22,,,
20180704,P23,,,
20180704,P24,,,
20180705,A1,,1.70E-01,
20180705,A2,,1.70E-01,
20180705,A3,,1.70E-01,
20180705,A4,,1.50E-01,
20180705,A5,,1.50E-01,
20180705,A6,,1.50E-01,
20180705,A7,,,
20180705,A8,,,
20180705,A9,,,
20180705,A10,,,
20180705,A11,,,
20180705,A12,,,
20180705,A13,450,,
20180705,A14,450,,
20180705,A15,450,,
20180705,A16,357,,
20180705,A17,357,,
20180705,A18,357,,
20180705,A19,422,,
20180705,A20,422,,
20180705,A21,422,,
20180705,A22,,,
20180705,A23,,,
20180705,A24,,,
20180705,B1,,1.70E-02,
20180705,B2,,1.70E-02,
20180705,B3,,1.70E-02,
20180705,B4,,1.50E-02,
20180705,B5,,1.50E-02,
20180705,B6,,1.50E-02,
20180705,B7,,1.70E-02,
20180705,B8,,1.70E-02,
20180705,B9,,1.70E-02,
20180705,B10,,1.50E-02,
20180705,B11,,1.50E-02,
20180705,B12,,1.50E-02,
20180705,B13,449,,
20180705,B14,449,,
20180705,B15,449,,
20180705,B16,358,,
20180705,B17,358,,
20180705,B18,358,,
20180705,B19,423,,
20180705,B20,423,,
20180705,B21,423,,
20180705,B22,,,
20180705,B23,,,
20180705,B24,,,
20180705,C1,,1.70E-03,
20180705,C2,,1.70E-03,
20180705,C3,,1.70E-03,
20180705,C4,,1.50E-03,
20180705,C5,,1.50E-03,
20180705,C6,,1.50E-03,
20180705,C7,,1.70E-03,
20180705,C8,,1.70E-03,
20180705,C9,,1.70E-03,
20180705,C10,,1.50E-03,
20180705,C11,,1.50E-03,
20180705,C12,,1.50E-03,
20180705,C13,448,,
20180705,C14,448,,
20180705,C15,448,,
20180705,C16,359,,
20180705,C17,359,,
20180705,C18,359,,
20180705,C19,424,,
20180705,C20,424,,
20180705,C21,424,,
20180705,C22,,,
20180705,C23,,,
20180705,C24,,,
20180705,D1,,1.70E-04,
20180705,D2,,1.70E-04,
20180705,D3,,1.70E-04,
20180705,D4,,1.50E-04,
20180705,D5,,1.50E-04,
20180705,D6,,1.50E-04,
20180705,D7,,1.70E-04,
20180705,D8,,1.70E-04,
20180705,D9,,1.70E-04,
20180705,D10,,1.50E-04,
20180705,D11,,1.50E-04,
20180705,D12,,1.50E-04,
20180705,D13,446,,
20180705,D14,446,,
20180705,D15,446,,
20180705,D16,360,,
20180705,D17,360,,
20180705,D18,360,,
20180705,D19,430,,
20180705,D20,430,,
20180705,D21,430,,
20180705,D22,,,
20180705,D23,,,
20180705,D24,,,
20180705,E1,,1.70E-05,
20180705,E2,,1.70E-05,
20180705,E3,,1.70E-05,
20180705,E4,,1.50E-05,
20180705,E5,,1.50E-05,
20180705,E6,,1.50E-05,
20180705,E7,,1.70E-05,
20180705,E8,,1.70E-05,
20180705,E9,,1.70E-05,
20180705,E10,,1.50E-05,
20180705,E11,,1.50E-05,
20180705,E12,,1.50E-05,
20180705,E13,439,,
20180705,E14,439,,
20180705,E15,439,,
20180705,E16,363,,
20180705,E17,363,,
20180705,E18,363,,
20180705,E19,431,,
20180705,E20,431,,
20180705,E21,431,,
20180705,E22,,,
20180705,E23,,,
20180705,E24,,,
20180705,F1,,1.70E-06,
20180705,F2,,1.70E-06,
20180705,F3,,1.70E-06,
20180705,F4,,1.50E-06,
20180705,F5,,1.50E-06,
20180705,F6,,1.50E-06,
20180705,F7,,1.70E-06,
20180705,F8,,1.70E-06,
20180705,F9,,1.70E-06,
20180705,F10,,1.50E-06,
20180705,F11,,1.50E-06,
20180705,F12,,1.50E-06,
20180705,F13,437,,
20180705,F14,437,,
20180705,F15,437,,
20180705,F16,364,,
20180705,F17,364,,
20180705,F18,364,,
20180705,F19,432,,
20180705,F20,432,,
20180705,F21,432,,
20180705,F22,,,
20180705,F23,,,
20180705,F24,,,
20180705,G1,,1.70E-07,
20180705,G2,,1.70E-07,
20180705,G3,,1.70E-07,
20180705,G4,,1.50E-07,
20180705,G5,,1.50E-07,
20180705,G6,,1.50E-07,
20180705,G7,,,
20180705,G8,,,
20180705,G9,,,
20180705,G10,,,
20180705,G11,,,
20180705,G12,,,
20180705,G13,436,,
20180705,G14,436,,
20180705,G15,436,,
20180705,G16,365,,
20180705,G17,365,,
20180705,G18,365,,
20180705,G19,433,,
20180705,G20,433,,
20180705,G21,433,,
20180705,G22,,,
20180705,G23,,,
20180705,G24,,,
20180705,H1,ntc,,
20180705,H2,ntc,,
20180705,H3,ntc,,
20180705,H4,ntc,,
20180705,H5,ntc,,
20180705,H6,ntc,,
20180705,H7,,,
20180705,H8,,,
20180705,H9,,,
20180705,H10,,,
20180705,H11,,,
20180705,H12,,,
20180705,H13,435,,
20180705,H14,435,,
20180705,H15,435,,
20180705,H16,421,,
20180705,H17,421,,
20180705,H18,421,,
20180705,H19,434,,
20180705,H20,434,,
20180705,H21,434,,
20180705,H22,,,
20180705,H23,,,
20180705,H24,,,
20180705,I1,566,,
20180705,I2,566,,
20180705,I3,566,,
20180705,I4,575,,
20180705,I5,575,,
20180705,I6,575,,
20180705,I7,587,,
20180705,I8,587,,
20180705,I9,587,,
20180705,I10,7,,DO NOT USE THESE DATA 
20180705,I11,7,,DO NOT USE THESE DATA 
20180705,I12,7,,DO NOT USE THESE DATA 
20180705,I13,485,,
20180705,I14,485,,
20180705,I15,485,,
20180705,I16,273,,
20180705,I17,273,,
20180705,I18,273,,
20180705,I19,346,,
20180705,I20,346,,
20180705,I21,346,,
20180705,I22,,,
20180705,I23,,,
20180705,I24,,,
20180705,J1,567,,
20180705,J2,567,,
20180705,J3,567,,
20180705,J4,576,,
20180705,J5,576,,
20180705,J6,576,,
20180705,J7,588,,
20180705,J8,588,,
20180705,J9,588,,
20180705,J10,8,,DO NOT USE THESE DATA 
20180705,J11,8,,DO NOT USE THESE DATA 
20180705,J12,8,,DO NOT USE THESE DATA 
20180705,J13,246,,
20180705,J14,246,,
20180705,J15,246,,
20180705,J16,274,,
20180705,J17,274,,
20180705,J18,274,,
20180705,J19,347,,
20180705,J20,347,,
20180705,J21,347,,
20180705,J22,,,
20180705,J23,,,
20180705,J24,,,
20180705,K1,568,,
20180705,K2,568,,
20180705,K3,568,,
20180705,K4,577,,
20180705,K5,577,,
20180705,K6,577,,
20180705,K7,589,,
20180705,K8,589,,
20180705,K9,589,,
20180705,K10,9,,DO NOT USE THESE DATA 
20180705,K11,9,,DO NOT USE THESE DATA 
20180705,K12,9,,DO NOT USE THESE DATA 
20180705,K13,247,,
20180705,K14,247,,
20180705,K15,247,,
20180705,K16,331,,
20180705,K17,331,,
20180705,K18,331,,
20180705,K19,348,,
20180705,K20,348,,
20180705,K21,348,,
20180705,K22,,,
20180705,K23,,,
20180705,K24,,,
20180705,L1,569,,
20180705,L2,569,,
20180705,L3,569,,
20180705,L4,578,,
20180705,L5,578,,
20180705,L6,578,,
20180705,L7,590,,
20180705,L8,590,,
20180705,L9,590,,
20180705,L10,10,,DO NOT USE THESE DATA 
20180705,L11,10,,DO NOT USE THESE DATA 
20180705,L12,10,,DO NOT USE THESE DATA 
20180705,L13,248,,
20180705,L14,248,,
20180705,L15,248,,
20180705,L16,332,,
20180705,L17,332,,
20180705,L18,332,,
20180705,L19,349,,
20180705,L20,349,,
20180705,L21,349,,
20180705,L22,,,
20180705,L23,,,
20180705,L24,,,
20180705,M1,570,,
20180705,M2,570,,
20180705,M3,570,,
20180705,M4,579,,
20180705,M5,579,,
20180705,M6,579,,
20180705,M7,595,,
20180705,M8,595,,
20180705,M9,595,,
20180705,M10,28,,DO NOT USE THESE DATA 
20180705,M11,28,,DO NOT USE THESE DATA 
20180705,M12,28,,DO NOT USE THESE DATA 
20180705,M13,249,,
20180705,M14,249,,
20180705,M15,249,,
20180705,M16,333,,
20180705,M17,333,,
20180705,M18,333,,
20180705,M19,426,,
20180705,M20,426,,
20180705,M21,426,,
20180705,M22,,,
20180705,M23,,,
20180705,M24,,,
20180705,N1,571,,
20180705,N2,571,,
20180705,N3,571,,
20180705,N4,580,,
20180705,N5,580,,
20180705,N6,580,,
20180705,N7,598,,
20180705,N8,598,,
20180705,N9,598,,
20180705,N10,57,,DO NOT USE THESE DATA 
20180705,N11,57,,DO NOT USE THESE DATA 
20180705,N12,57,,DO NOT USE THESE DATA 
20180705,N13,267,,
20180705,N14,267,,
20180705,N15,267,,
20180705,N16,336,,
20180705,N17,336,,
20180705,N18,336,,
20180705,N19,427,,
20180705,N20,427,,
20180705,N21,427,,
20180705,N22,,,
20180705,N23,,,
20180705,N24,,,
20180705,O1,573,,
20180705,O2,573,,
20180705,O3,573,,
20180705,O4,585,,
20180705,O5,585,,
20180705,O6,585,,
20180705,O7,,,
20180705,O8,,,
20180705,O9,,,
20180705,O10,64,,DO NOT USE THESE DATA 
20180705,O11,64,,DO NOT USE THESE DATA 
20180705,O12,64,,DO NOT USE THESE DATA 
20180705,O13,268,,
20180705,O14,268,,
20180705,O15,268,,
20180705,O16,337,,
20180705,O17,337,,
20180705,O18,337,,
20180705,O19,428,,
20180705,O20,428,,
20180705,O21,428,,
20180705,O22,,,
20180705,O23,,,
20180705,O24,,,
20180705,P1,574,,
20180705,P2,574,,
20180705,P3,574,,
20180705,P4,586,,
20180705,P5,586,,
20180705,P6,586,,
20180705,P7,,,
20180705,P8,,,
20180705,P9,,,
